"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",188.06767,1,718.53134,0.186987937674903,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",170.44217,1,1035.11057,0.139325206346576,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",165.30618,1,1056.83253,0.127144822622252,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",40.01521,1,1688.57776,0.00182922593930567,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",37.91127,1,1793.49448,0.00155643725421459,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",42.05437,1,890.07835,0.0021223137305625,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",184.70528,1,2059.58232,0.177168879744274,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",42.65231,1,1011.27611,0.00221382122300091,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",39.54634,1,1120.58467,0.00176588381347883,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",45.27878,1,1120.43099,0.00264691200526323,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",159.14899,1,744.88355,0.113503152128973,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Scorpididae","Neatypus","obliquus",199.02444,1,1435.19411,0.221485076310058,"37361002"
"2020-10_south-west_stereo-BRUVs","IO74","Serranidae","Epinephelides","armatus",233.40412,1,887.56713,0.10793540905632,"37311100"
"2020-10_south-west_stereo-BRUVs","IO74","Serranidae","Epinephelides","armatus",294.54734,1,1205.65489,0.215413196767355,"37311100"
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Carangoides","sp10",63.23841,1,1149.74148,0.00459028865158021,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",311.95374,1,2001.10478,0.507826861684676,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",332.94618,1,2221.06598,0.615347567732569,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",339.5727,1,2797.31704,0.652167134065779,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",274.09105,1,2016.29692,0.346740042721218,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",327.18543,1,2476.17202,0.584477722192982,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",286.89784,1,2311.6526,0.396722520517914,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",315.36568,1,1864.16954,0.524380731083713,NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Pseudocaranx","spp",337.11103,1,1887.30595,0.638323913831612,NA
"2020-10_south-west_stereo-BRUVs","IO75","Labridae","Coris","auricularis",145.58741,1,1705.83801,0.0362375551414821,"37384088"
"2020-10_south-west_stereo-BRUVs","IO75","Labridae","Coris","auricularis",109.49379,1,2158.77947,0.0151541588453465,"37384088"
